method,planted_wgds,duprate,simid,dup_cost,solution_cost,solution_nbdups,solution_nblosses,time
lcamap,2,9,11,20,306.0,15.0,6.0,0.069563
segdup,2,9,11,25,381,15,6,92.501501
insider,2,9,11,25,381.0,15.0,6.0,1.201108
fastmultrec_greedy,2,9,11,25,381.0,15.0,6.0,0.461411
lcamap,2,9,11,25,381.0,15.0,6.0,0.071640
segdup,2,9,11,5,81,15,6,157.579362
insider,2,9,11,5,81.0,15.0,6.0,0.127005
fastmultrec_greedy,2,9,11,5,81.0,15.0,6.0,0.463840
lcamap,2,9,11,5,81.0,15.0,6.0,0.067682
segdup,1,10,12,10,21,2,1,66.852259
insider,1,10,12,10,21.0,2.0,1.0,0.039983
fastmultrec_greedy,1,10,12,10,21.0,2.0,1.0,0.135364
lcamap,1,10,12,10,21.0,2.0,1.0,0.022806
segdup,1,10,12,15,31,2,1,44.621143
insider,1,10,12,15,31.0,2.0,1.0,0.047493
fastmultrec_greedy,1,10,12,15,31.0,2.0,1.0,0.135615
lcamap,1,10,12,15,31.0,2.0,1.0,0.022633
segdup,1,10,12,20,41,2,1,62.208181
insider,1,10,12,20,41.0,2.0,1.0,0.040076
fastmultrec_greedy,1,10,12,20,41.0,2.0,1.0,0.140070
lcamap,1,10,12,20,41.0,2.0,1.0,0.029342
segdup,1,10,12,25,51,2,1,39.220574
insider,1,10,12,25,51.0,2.0,1.0,0.040716
fastmultrec_greedy,1,10,12,25,51.0,2.0,1.0,0.154157
lcamap,1,10,12,25,51.0,2.0,1.0,0.024393
segdup,1,10,12,5,11,2,1,71.041018
insider,1,10,12,5,11.0,2.0,1.0,0.037884
fastmultrec_greedy,1,10,12,5,11.0,2.0,1.0,0.133043
lcamap,1,10,12,5,11.0,2.0,1.0,0.022429
segdup,1,11,12,10,10,1,0,87.328543
insider,1,11,12,10,10.0,1.0,0.0,0.046904
fastmultrec_greedy,1,11,12,10,10.0,1.0,0.0,0.163441
lcamap,1,11,12,10,10.0,1.0,0.0,0.029241
segdup,1,11,12,15,15,1,0,71.089355
insider,1,11,12,15,15.0,1.0,0.0,0.045937
fastmultrec_greedy,1,11,12,15,15.0,1.0,0.0,0.162992
lcamap,1,11,12,15,15.0,1.0,0.0,0.029194
segdup,1,11,12,20,20,1,0,50.863209
insider,1,11,12,20,20.0,1.0,0.0,0.047351
fastmultrec_greedy,1,11,12,20,20.0,1.0,0.0,0.164602
lcamap,1,11,12,20,20.0,1.0,0.0,0.029767
segdup,1,11,12,25,25,1,0,50.779346
insider,1,11,12,25,25.0,1.0,0.0,0.054688
fastmultrec_greedy,1,11,12,25,25.0,1.0,0.0,0.164835
lcamap,1,11,12,25,25.0,1.0,0.0,0.029355
segdup,1,11,12,5,5,1,0,93.781365
insider,1,11,12,5,5.0,1.0,0.0,0.047328
fastmultrec_greedy,1,11,12,5,5.0,1.0,0.0,0.165337
lcamap,1,11,12,5,5.0,1.0,0.0,0.028939
segdup,1,15,12,10,10,1,0,70.932846
insider,1,15,12,10,10.0,1.0,0.0,0.041188
fastmultrec_greedy,1,15,12,10,10.0,1.0,0.0,0.127332
lcamap,1,15,12,10,10.0,1.0,0.0,0.023399
segdup,1,15,12,15,15,1,0,56.017288
insider,1,15,12,15,15.0,1.0,0.0,0.040273
fastmultrec_greedy,1,15,12,15,15.0,1.0,0.0,0.124983
lcamap,1,15,12,15,15.0,1.0,0.0,0.023584
segdup,1,15,12,20,20,1,0,41.733738
insider,1,15,12,20,20.0,1.0,0.0,0.039514
fastmultrec_greedy,1,15,12,20,20.0,1.0,0.0,0.129765
lcamap,1,15,12,20,20.0,1.0,0.0,0.022981
segdup,1,15,12,25,25,1,0,40.224189
insider,1,15,12,25,25.0,1.0,0.0,0.041053
fastmultrec_greedy,1,15,12,25,25.0,1.0,0.0,0.124772
lcamap,1,15,12,25,25.0,1.0,0.0,0.023429
segdup,1,15,12,5,5,1,0,74.433045
insider,1,15,12,5,5.0,1.0,0.0,0.039536
fastmultrec_greedy,1,15,12,5,5.0,1.0,0.0,0.124352
lcamap,1,15,12,5,5.0,1.0,0.0,0.023741
segdup,1,8,12,10,1150,95,200,124.488270
insider,1,8,12,10,1136.0,90.0,236.0,0.353959
fastmultrec_greedy,1,8,12,10,1150.0,95.0,200.0,0.374475
lcamap,1,8,12,10,1150.0,95.0,200.0,0.064450
segdup,1,8,12,15,1625,95,200,122.044581
insider,1,8,12,15,1571.0,82.0,341.0,1.477091
fastmultrec_greedy,1,8,12,15,1625.0,95.0,200.0,0.394119
